Club,Photo,Salary,Pay ,Goals,type
FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€110.5M,€565K,2202,Left
Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€77M,€405K,2228,Right
Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€118.5M,€290K,2143,Right
Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€72M,€260K,1471,Right
Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€102M,€355K,2281,Right
Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€93M,€340K,2142,Right
Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€67M,€420K,2280,Right
FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€80M,€455K,2346,Right
Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€51M,€380K,2201,Right
Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€68M,€94K,1331,Right
FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€77M,€205K,2152,Right
Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€76.5M,€355K,2190,Right
Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€44M,€125K,1946,Right
Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€60M,€285K,2115,Left
Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€63M,€225K,2189,Right
Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€89M,€205K,2092,Left
Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,€83.5M,€205K,2165,Right
Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€78M,€145K,2246,Left
FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€58M,€240K,1328,Right
Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€53.5M,€240K,1311,Left
FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€51.5M,€315K,2065,Right
Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€60M,€200K,2161,Right
FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€38M,€130K,1473,Right
Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€64.5M,€300K,2107,Right
Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€27M,€215K,1841,Left
Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€81M,€100K,2118,Right
Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,€69.5M,€255K,2146,Left
Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€59.5M,€285K,2170,Right
FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€69.5M,€315K,2171,Left
Napoli,https://cdn.sofifa.org/teams/2/light/48.png,€62M,€165K,2017,Right
Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€73.5M,€315K,2137,Right
Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,€73.5M,€205K,2117,Right
FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€69.5M,€340K,2175,Right
Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€59M,€265K,2069,Right
FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€46M,€160K,2038,Right
Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€43M,€285K,2279,Left
Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€60M,€355K,2279,Left
Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,€36M,€150K,1335,Left
Milan,https://cdn.sofifa.org/teams/2/light/47.png,€57M,€245K,1965,Right
Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€24M,€165K,2077,Right
Inter,https://cdn.sofifa.org/teams/2/light/44.png,€30M,€110K,1262,Right
Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€4M,€77K,1334,Right
FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€57M,€205K,2147,Left
Inter,https://cdn.sofifa.org/teams/2/light/44.png,€64.5M,€130K,1940,Right
Napoli,https://cdn.sofifa.org/teams/2/light/48.png,€51M,€115K,1660,Right
Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€64M,€210K,2247,Right
Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€30.5M,€195K,1345,Right
Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€62.5M,€230K,2031,Left
Lazio,https://cdn.sofifa.org/teams/2/light/46.png,€52M,€115K,2009,Right
FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€38M,€250K,2230,Left
Napoli,https://cdn.sofifa.org/teams/2/light/48.png,€45M,€135K,2043,Right
Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,€34M,€155K,2079,Right
Napoli,https://cdn.sofifa.org/teams/2/light/48.png,€46.5M,€125K,2188,Right
FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€46.5M,€260K,2184,Right
FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€34M,€240K,1950,Right
Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€61M,€195K,2090,Right
Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€59.5M,€180K,2039,Right
Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€41.5M,€125K,1463,Right
Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,€52M,€195K,2110,Right
Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,€44.5M,€165K,2046,Right
Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€56.5M,€195K,2036,Right
Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,€53M,€195K,2187,Right
Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€50M,€210K,1895,Right
Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€55M,€135K,2149,Right
Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€36.5M,€160K,2198,Right
Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€46.5M,€175K,2111,Right
FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€45M,€135K,2097,Right
FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€45.5M,€130K,2190,Right
Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€43.5M,€100K,2172,Right
Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€35M,€175K,2114,Right
Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€30M,€160K,1978,Right
Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,€39M,€150K,2047,Right
Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€44M,€180K,2182,Right
Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€30M,€160K,1803,Right
Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€43.5M,€190K,1911,Right
Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€18M,€185K,2183,Right
Vissel Kobe,https://cdn.sofifa.org/teams/2/light/101146.png,€21.5M,€21K,2058,Right
Inter,https://cdn.sofifa.org/teams/2/light/44.png,€46.5M,€82K,1800,Right
Lazio,https://cdn.sofifa.org/teams/2/light/46.png,€50.5M,€73K,2206,Right
Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€54M,€215K,2050,Right
Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png,€50M,€92K,2102,Right
Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,€36.5M,€115K,1320,Right
FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€40.5M,€92K,2185,Right
Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€50.5M,€77K,2196,Right
Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€40.5M,€205K,2031,Right
FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€38M,€110K,2261,Right
Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€45M,€88K,2175,Right
Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€45M,€180K,2060,Right
Roma,https://cdn.sofifa.org/teams/2/light/52.png,€37.5M,€96K,1642,Right
Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€28.5M,€170K,1916,Right
Valencia CF,https://cdn.sofifa.org/teams/2/light/461.png,€37M,€66K,2119,Right
Guangzhou Evergrande Taobao FC,https://cdn.sofifa.org/teams/2/light/111839.png,€37M,€235K,2245,Right
Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€32M,€125K,1270,Right
